Track URI,song_name,cover_artist_id,cover_artist_name,cover_release_year,cover_song_popularity,control_artists_name,cover_artists_popularity,cover_artists_followers,original_song_artist ,original_release_year,original_song_popularity,control_song_name
spotify:track:0aLBrgdmfl1DADg3ZO6y0N,Dancing in the Dark,7FfxvcUIbQ1VxrApeoq8ql,Eddie Berman,2014,59,Eddie Berman,52,19394,Bruce Springsteen,1984,80,Dancing in the Dark
spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,Nothing Compares 2 U,4sD9znwiVFx9cgRPZ42aQ1,Sinéad O'Connor,1990,75,Sinéad O'Connor,63,745214,Prince,1984,56,Nothing Compares 2 U
spotify:track:0tUELgOuOJ3KCsYMDDsNvD,Nothing Compares 2 U,0XHiH53dHrvbwfjYM7en7I,Chris Cornell,2018,63,Chris Cornell,65,1701401,Prince,1984,56,Nothing Compares 2 U
spotify:track:3tFECpGckFpp0HpQje78gi,Forever Young,51K48NCxjB11t9eqUWWoIq,Youth Group,2007,55,Youth Group,46,20606,Alphaville,1984,74,Forever Young
spotify:track:6h6ygBpkcNsEujxcuxE9XB,Forever Young,7dWw3TXxNe2aEhng9vVRNl,Axel Rudi Pell,1993,31,Axel Rudi Pell,51,102110,Alphaville,1984,74,Forever Young
spotify:track:7ESAahLa4gCgyGhVNmFWFi,Material Girl,2OjtmMho2pBS86zQ1PliRu,Exhumed,2004,5,Exhumed,31,47267,Madonna,1984,74,Material Girl
spotify:track:05deCE3rw8aLEQbKDtI9M0,I Want to Break Free,2C2sVVXanbOpymYBMpsi89,The Cab,2008,24,The Cab,64,513854,Queen,1984,72,I Want to Break Free
spotify:track:0Hxty2K8F2DrrCXQyQVpBo,You Spin Me Round (Like A Record),7fWgqc4HJi3pcHhK8hKg2p,Dope,1999,67,Dope,62,633822,Dead Or Alive,1983,75,You Spin Me Round (Like A Record)
spotify:track:2BLD6EM0kaOQhPfuwANW4Q,You Spin Me Round (Like A Record),5RohEiQqwFf7HgTTLOJA0E,Gemini Five,2000,44,Gemini Five,29,7997,Dead Or Alive,1983,75,You Spin Me Round (Like A Record)
spotify:track:4uPiTKlFr5NognWy7ur7Ul,You Spin Me Round (Like a Record),5tzXA5cMiWjCzEFTqNy230,Eraserhead,2016,0,Eraserhead,0,670,Dead Or Alive,1983,75,You Spin Me Round (Like a Record)
spotify:track:1VpenLkKxrcdjYX0tKV4Es,The Killing Moon ,3inCNiUr4R6XQ3W43s9Aqi,Pavement,2008,49,Pavement,62,405930,Echo & the Bunnymen,1984,63,The Killing Moon 
spotify:track:4yQ8I306yYnro6Xufw3Ree,The Killing Moon,73YQu58A790PDacC6O64xN,The Quakes,2001,24,The Quakes,32,17969,Echo & the Bunnymen,1984,63,The Killing Moon
spotify:track:1BgxJFxLi5Qt9cwB5Enefq,For Whom The Bell Tolls,4Lm0pUvmisUHMdoky5ch2I,Apocalyptica,1998,33,Apocalyptica,63,833870,Metallica,1984,71,For Whom The Bell Tolls
spotify:track:1xK6xLcJMTAC4BgmREXpGJ,For Whom the Bell Tolls,3o2dn2O0FCVsWDFSh8qxgG,Sabaton,2014,51,Sabaton,76,1525179,Metallica,1984,71,For Whom the Bell Tolls
